date,work,announcement,notes,next_plan
2025-08-21,"・保険証確認3件＋TEL3件
・入院費台帳入力8/19分39件、8/20分23件
・3東ENT8件
・4西入院中患者様入院費支払い対応→23日土曜日に
・郵送2件",,,"・保険証確認
・3東ENT→4東"
2025-08-22,"・保険証確認4+1件；TEL1件
・入院費台帳（8/21入金分）20件
・3東ENT2件（うちope：1件）
・4東新規入院5件くらい（うちope：2件）
・患者様窓口対応1件",,＊広報　8月16日：0.5日済,＊広報1日（残0日）
2025-08-23,"・保険証確認1件
・3東ENT1件
・広報",,,
2025-08-25,"・保険証確認1+2件
・入院費台帳8/22-24入金分計60件くらい
・3東ENT3件
・郵送5件
・窓口対応2件
・4東ope1件",,,"＊保険証確認
＊4東"
2025-08-26,"・保険証確認3件
・4東5件＋印刷のみ5件くらい",,,"＊保険証確認
＊4東"
2025-08-27,"＊保険証確認1＋1件
＊4東10件opeあり＋印刷3件
＊入院費台帳（8/25入金分）20件
＊窓口対応2件",,,"＊保険証確認
＊4東"
2025-08-28,"（＊午後休み）
＊保険証確認3件
＊4東継続入院印刷20件くらい＋保険証提示依頼TEL5件くらい
＊入院費台帳8/27入金分19件",,,"＊保険証確認
＊4東"
2025-08-29,"＊4東継続入院30件強＋新規入院3件
＊4東保険証提示依頼TEL10件弱
＊入院費台帳8/28入金分15件",,,＊4東処置確認
2025-08-30,"＊午前中休み
＊4東継続入院電カル確認＋処置確認
＊4東ope入力1件
＊4東保険証依頼5件くらい",8/31息子来院予定（109686）副島喜佐男さま　＊息子様マイナンバー持参予定。息子様と電話で20分弱話しました。本人がもうすぐ退院と言っていたらしく（予定はなし）、そのことや介護保険のことなど色々話長いです。31日はマイナか資格確認証で保険証情報確認できればokです。,,"＊保険証確認
＊4東
★実習生（9/1～9/5）"
2025-09-01,"＊実習生対応
＊4東（残：継続入院10件くらい）",,★9/2保育園行事のため14：30早退（3時間有休）,"＊実習生対応
＊保険証確認
＊4東残り
★保育園行事のため14：30早退（3時間有休）"
2025-09-02,"（＊保育園行事のため14：30早退　3時間有休）
＊実習生対応
＊保険証確認3件＋4東1件
＊4東8月集計用紙おわり。
＊1号用紙回収
＊おむつ紙回収
＊入院費台帳8/29入金分20件、8/30入金分7件",,,"＊実習生対応
＊保険証確認
＊レセプト業務"
2025-09-03,"＊レセプト：糊付け、4東集計用紙50音順並べ、急性期内容確認8件
＊実習生対応（以下実習生と一緒に）
↓
＊保険証確認4件
＊入院費台帳9/2入金分10件
＊１号用紙不足分回収
＊レセプト：4東セット、急性期継続入院病名追記19件
＊医事課業務、病棟種類説明",,,"＊実習生対応
＊レセプト：急性期内容確認→退院病名追記"
2025-09-04,"＊実習生対応
→保険証確認4件
→（レセ）継続入院内容確認
→（レセ）退院病名確認
→入院台帳9/3入金分

＊（レセ）継続入院内容確認10件強
＊（レセ）退院病名確認？件",,,"＊実習生対応
＊レセプト業務"
2025-09-05,"＊実習生対応（最終日）
→3西退院カルテ回収
→退院患者算定方法教える
→（レセ）退院患者病名確認？件

＊（レセ）退院患者病名確認？件
＊（レセ）退院患者内容確認10件くらい
＊（レセ）ドクター別仕分け
＊3東退院",,,"＊広報（0.5日：残2.5日）
＊保険証確認
＊3東退院"
2025-09-06,"＊保険証確認6件
＊4東退院時支払リハ訂正→請求書出し直し1件
＊窓口対応1件
＊TEL対応1件
＊広報0.5日（残1日）
＊3東ENT2件",,,"＊（レセ）病名入力
＊保険証確認"
2025-09-08,"＊（レセ）病名入力？件
＊3東ENT3件
＊郵送3件
＊実習生コメント記載",,,"＊保険証確認
＊レセプト業務"
2025-09-09,"＊保険証確認2件
＊TEL2件
＊（レセ）病名入力80件くらい
＊（レセ）全麻確認21件
＊（レセ）入外確認名簿2枚分
＊入院費台帳9/8入院分6件
＊3東ent4件
＊郵送1件",ID：107732木下厚子さま；限度額待ちで8月レセ保留にしていますが、9/9夕方ご家族来院あり市役所いくとのことだった為、持参あるかもしれません。,,"＊保険証確認
＊3東ent→4東"
