date,work,announcement,notes,next_plan
2025-08-21,"退院計算確認
医師への管理料入力依頼
勤務入力
IT室病棟薬剤業務実施加算対応
記録委員会
未収金管理",8/22古川お休みいただいております。マナゴケンジ様（ID：104128）が入金にお見えになったら、オルカの中にある5400円を入金にして、そのまま5400円の領収書を発行、お渡ししてください。,,生活保護2名医師へ依頼。診療管理会議資料publicへあげる。
2025-08-24,"管理者研修9時～17時
振込支払い領収書対応5名
未収金督促電話",,,生活保護3名医師へ依頼。診療管理会議資料publicへあげる。
2025-08-25,"退院計算確認15名
生保意見書作成医師依頼3名
診療管理会議（議事録作成含む）
定例報告",,,定例報告の在院日数欄を野田部長へ依頼。
2025-08-26,"定例報告最終確認。
3西入院中計算4名
未収金督促電話3名",,,定例報告郵送
2025-08-27,"定例報告印刷、郵送。
未収金管理電話3名
3西入院中計算5名
リハビリシステムmtg",,,
2025-08-28,"退院計算確認10名
義父危篤の為11時早退",,,
2025-08-29,"3西入院中計算4名
3東退院計算1名
未収金督促業務",,,
2025-08-31,"3西入院中計算7名
HCU入院中計算1名
振込入金処理",,,
2025-09-01,"ハイケア入院中集計3名
3西月末集計確認38名",,,
2025-09-02,"4東入院中集計確認。
退院計算確認。
データチェック→レセプト印刷
マイティチェッカーデータ作成
リハビリ確認用データ作成
受付へレセプト確認用データ作成","今月から、医師へレセプト病名の転記を行う際のルールを変更します。
掲示板を参照ください。疑問点あれば随時古川まで。",,
2025-09-03,"入院中レセプト病名確認25名
当直
院内LLMサーバー再設定",,,ナレッジハンズデータ作成
2025-09-04,"入院中レセプト確認40件
ナレッジハンズへの提出データ作成",,,"俵坂さん金額連絡。
特別管理室会議"
2025-09-05,"特別管理室会議及び議事録作成（9時～11時）
入院中レセプト病名確認40名、退院患者病名確認30名
振込入金処理3件",,,
2025-09-07,"レセプト医師戻り分チェック100名ほど
未収金患者対応2名
業務改善アンケート改修",,,俵坂さん計算
2025-09-08,"レセプト医師病名確認100名ほど
未収金管理対応
限度額説明",,,
2025-09-09,"レセプト医師最終チェック50件
返戻レセプト作成
多数回該当確認50名
末吉Dr依頼分読影データ処理準備",,,
2025-09-10,test,test,test,test
