date,work,announcement,notes,next_plan
2025-08-25,"・集計用紙作成（4西10件、退院3件）
・請求書郵送3件",,,退院計算、4西の集計用紙作成
2025-08-26,・集計用紙作成（退院計算：2件、４西：6件）,,,退院計算、４西の集計用紙作成
2025-08-28,集計用紙作成（3東退院：４件、4西：7件）,,,集計用紙作成（退院計算、4西）
2025-08-29,集計用紙作成（4西：2件、退院：3件）,,,"4西リハビリ、処置拾う
3東の退院計算"
2025-09-01,４西30名分オルカ入力、退院計算８名分集計用紙作成,,,4西横計、縦計
2025-09-02,"4西横計、縦計
請求書郵送",,,レセプト点検
2025-09-03,退院レセプト病名転記,,,"・退院レセプト病名転記
・４西レセプトチェック
・４東一般ありレセプト点検
のどれか…"
2025-09-04,4東一般ありレセプトチェック,,,4西レセプトチェック
2025-09-05,"・4西、退院分レセプトチェック
・DPC4.5月分エラー訂正",,,"・9月退院分集計用紙作成
・DPC4.5月分エラー訂正の続き"
2025-09-08,・DPC4.5月分エラー訂正＆引継ぎ,,,レセプト病名チェック
2025-09-09,"・DPC4.5月分エラー分提出
・８月分レセプト病名チェック
・他科受診チェック
・手術チェック","10/27～産休に入る予定でしたが、11/9～産休に入ることになりました。
引継ぎ等ご負担ご迷惑おかけしますが、よろしくお願いします。",8月分残業提出！,"・退院分集計用紙作成
・DPC入力 or 包括オルカ入力"
