date,work,announcement,notes,next_plan
2025-08-21,"・前日入院患者様、把握確認業務
・退院計算9：30～1時間ずつ2名、退院計算肺癌オペ患者1名　11：30～2時間程　計3名
・明日退院予定患者様のマイナ保険証確認対応　30分程
・請求書郵送業務　30分程
・今月新規入院患者集計表作成　1名(HCU→一般がらみ）16：00～17：30",8/20に3西より退院された馬場貞子様の入院費請求書出来てます。長男様の携帯へ留守電入れて折り返し待ち。郵送なのか窓口預かりでよいか,,8/22　午後出勤（退院計算の見直し作業、今月新規入院患者様の集計用紙作成）
2025-08-22,"・前日入院患者様、把握確認業務
・前日計算分引き続きの新規入院患者　1名　13：45～14：30
・退院計算14：30～15：10　1名、退院計算16：05～17：30　2名　計3名
・退院計算の見直し(オペ患)15：10～16：00　1名",,,退院計算、今月新規入院患者様の集計用紙作成予定
2025-08-25,"・前日入院患者様、把握確認業務
・退院計算の見直し 8:40～9：40　2名
・退院計算　9：45～12：20　4名
・退院請求書郵送業務　12：20～12：45
・退院計算12：45～13：00、14：00～17：30　計3名",,,退院計算、今月新規入院患者様の集計用紙作成予定
2025-08-26,"・前日入院患者様、把握確認業務
・退院計算の見直し(オペ患者含む）8：40～10：50　2名
・退院計算　11：00～12：15　1名
・今月新規入院患者集計表作成　12：15～12：30　1名",,,退院計算、今月新規入院患者様の集計用紙作成予定
2025-08-27,"・前日入院患者様、把握確認業務
・今月新規入院患者集計表作成　10：05～12：10　　
　　　　　　　　　　　　　　15：00～　　計3名
・新規入院の処置表等確認・入力まで　5名分",,,退院計算、今月新規入院患者様の集計用紙作成予定
2025-08-28,"・前日入院患者様、把握確認業務
・前日からの引き続き入力　1名
・請求書郵送業務　
・退院計算    1名
・先月分の保険証コピーと請求書控えのスキャン業務　40分
・本日入院患者様のマイナ保険証の件、病室で対応　20分
・今月新規入院患者集計表作成　 3名",,,退院計算、今月新規入院患者様の集計用紙作成予定
2025-08-29,"・前日入院患者様、把握確認業務
・今月新規入院患者集計表作成  6名
・退院計算　1名",,,退院計算、今月新規入院患者様の集計用紙作成予定
2025-08-31,"・前日入院患者様、把握確認業務
・退院計算　1名
・今月新規入院患者集計表作成　7名
・新規入院の処置表等確認・入力まで　12名分程
・今月入院2回目見た分の入力等　10名",,,"退院計算、8月新規入院の8/31分の内容全て確認し入力まで
8月分のリハビリ入力等"
2025-09-01,"・前日入院患者様、把握確認業務
・退院計算　4名
・今月新規入院患者 19名分の8/31分の見直しをして入力まで　19名
・リハ入力～横・縦計まで点数照合済分　16名",,,"・リハ入力～横・縦計まで点数照合まで
・病名入力等"
2025-09-02,"・前日入院患者様、把握確認業務
・リハ入力～横・縦計まで点数照合済分　25名
・病名入力
・1号用紙と集計用紙を50音順に並べ、挟める作業等
・退院請求書発送業務",,,・3階病棟、R7.8新規入院患者の病名上げ作業
2025-09-03,"・前日入院患者様、把握確認業務
・レセプトのリ貼り→集計用紙+1号用紙+レセを50音順にはさめていく　60件(10：40まで）
・R7.8～新規入院3階病棟分のレセ病名拾い上げ　30件程　（10：50～19：00）",,,"・R7.8～新規入院3階病棟分のレセ病名拾い上げ
・R7.8退院患者レセ・病名不足分拾い上げや転帰を伺う作業"
2025-09-04,"・前日入院患者様、把握確認業務
・R7.8～新規入院3階病棟分の病名拾いあげ　25件程（15：40まで）
・R7.8退院の病名付いているか等の確認　10件程",,,・R7.8退院の病名付いているか等の確認
2025-09-05,"・前日入院患者様、把握確認業務
・R7.8退院レセ、病名が付いているか等の確認   約60件程",,,"・廃用リハの評価表と除外コメントのレセプトへの添付作業
・R7.8の労災レセ照合"
2025-09-06,"・前日入院患者様、把握確認業務
・リハ廃用評価表と除外コメントのレセへの添付　130件程
（9：00～11：50）
・R7.8提示の保険証コピーのオルカ登録への見直し（11：50～12：30）
・労災レセ照合　2件（30分）
・R7.9退院患者様の計算 5名（14：00～17：30）",,,・R7.8月レセ、最終見直し業務
2025-09-08,"・前日入院患者様、把握確認業務
・レセ最終確認　130件程",,,レセ最終確認
2025-09-09,"・前日入院患者様、把握確認業務
・レセ最終確認  9：00～15：50　90件
・レセ多数該当の見直し",,,・R7.8入院中の患者様の入院請求書作成業務
