date,work,announcement,notes,next_plan
2025-08-21,"保険証確認 2
退院計算 3
請求書郵送 1
協会けんぽへ任継の限度額申請の件問い合わせ
保険証の件で窓口対応
郵送先チェック",,,"保険証確認
退院計算"
2025-08-22,"保険証確認 5
退院計算 3
他医受診予定の対応
保険証、限度額の問い合わせ対応",,,"保険証確認
退院計算"
2025-08-23,"保険証確認 4
退院計算 2
保険証窓口対応",,,"保険証確認
退院計算
入院中計算"
2025-08-25,"保険証確認 3
退院計算 2
入院中計算 4
保険証・限度額窓口対応 2
請求書郵送 1
郵送先チェック",,,"保険証確認
入院中計算
退院計算"
2025-08-26,"保険証確認 5
入院中計算 7
入院中保険証提示依頼
保険証窓口対応",,,"保険証確認
入院中計算
退院計算"
2025-08-27,"保険証確認 5
入院中計算 3
入院中保険証提示依頼
退院予定の方の概算計算・説明",,,"保険証確認
入院中計算
退院計算"
2025-08-28,"保険証確認 8
入院中計算 7
入院中保険証提示依頼",,,"保険証確認
入院中計算
退院計算
8/30退院当日支払希望分の計算、請求書作成"
2025-08-29,"保険証確認 5
集計用紙作成 1
入院中計算
入院中保険証提示依頼",,,"保険証確認
入院中計算
退院計算"
2025-08-31,"保険証確認 10
入院中計算",,,"保険証確認
入院中計算
退院計算"
2025-09-01,"保険証確認 1
4西入院中計算、紙カルテ確認、診療データ入力
保険証・限度額窓口対応",,,"保険証確認
4西入院中計算、診療データ入力
退院計算"
2025-09-02,"保険証確認 6
4西入院中計算、診療データ入力
入院中保険証提示依頼
請求書郵送、台帳登録
限度額の問い合わせ対応",,,"保険証確認
4西レセプトチェック"
2025-09-03,"保険証確認 2
4西レセプトチェック",,,"保険証確認
4西レセプトチェック"
2025-09-04,"保険証確認 4
4西レセプトチェック
入院費問い合わせ対応",,,"保険証確認
4西レセプトチェック"
2025-09-05,"保険証確認 3
4西レセプトチェック
退院分レセプトチェック
請求書作成、郵送
9/8退院当日支払希望分の集計用紙作成",,,"保険証確認
病名入力"
2025-09-07,"保険証確認 4
レセプト病名入力
4西医療区分変更分の評価票登録",,,"保険証確認
レセプト病名入力
4西評価票変更分登録"
2025-09-08,"レセプト病名入力
4西医療区分変更分の評価票登録",,,"保険証確認
レセプト病名入力
4西評価票変更分登録"
2025-09-09,"保険証確認 3
レセプト病名入力
4西医療区分変更分の評価票登録
病名入外チェック
退院計算 3",,,"保険証確認
退院計算"
2025-09-10,"保険証確認 10
退院計算 1",,"コントローラー13、アナライザー29、プロモーター20、サポーター20
主要タイプ：アナライザー","保険証確認
退院計算"
